CarModel,ImgUrl,MPG,UserEco
 2013 Buick Regal,http://www.fueleconomy.gov/feg/photos/2013_Buick_Regal.jpg,23,NA
 2013 Buick Regal,http://www.fueleconomy.gov/feg/photos/2013_Buick_Regal.jpg,23,NA
 2014 Buick Regal,http://www.fueleconomy.gov/feg/photos/2014_Buick_Regal.jpg,23,NA
 2015 Buick Regal,http://www.fueleconomy.gov/feg/photos/2015_Buick_Regal.jpg,23,NA
 2016 Buick Regal,http://www.fueleconomy.gov/feg/photos/2016_Buick_Regal.jpg,23,NA
 2017 Buick Regal,http://www.fueleconomy.gov/feg/photos/2016_Buick_Regal.jpg,23,NA
 2011 Buick LaCrosse,http://www.fueleconomy.gov/feg/photos/2011_Buick_LaCrosse.jpg,23,24.1
 2016 Buick Envision AWD,http://www.fueleconomy.gov/feg/photos/2016_Buick_Envision.jpg,22,NA
 2017 Buick Envision AWD,http://www.fueleconomy.gov/feg/photos/2016_Buick_Envision.jpg,22,NA
 2013 Buick Regal,http://www.fueleconomy.gov/feg/photos/2013_Buick_Regal.jpg,22,NA
 2014 Buick Regal AWD,http://www.fueleconomy.gov/feg/photos/2014_Buick_Regal.jpg,22,20.0
 2015 Buick Regal AWD,http://www.fueleconomy.gov/feg/photos/2015_Buick_Regal.jpg,22,NA
 2016 Buick Regal AWD,http://www.fueleconomy.gov/feg/photos/2016_Buick_Regal.jpg,22,NA
 2017 Buick Regal AWD,http://www.fueleconomy.gov/feg/photos/2016_Buick_Regal.jpg,22,NA
 2012 Buick Regal,http://www.fueleconomy.gov/feg/photos/2012_Buick_Regal.jpg,22,NA
 2012 Buick Regal,http://www.fueleconomy.gov/feg/photos/2012_Buick_Regal.jpg,22,19.5
 2013 Buick Regal,http://www.fueleconomy.gov/feg/photos/2013_Buick_Regal.jpg,22,NA
 2012 Buick Regal,http://www.fueleconomy.gov/feg/photos/2012_Buick_Regal.jpg,22,24.1
 2012 Buick Regal,http://www.fueleconomy.gov/feg/photos/2012_Buick_Regal.jpg,22,NA
 2013 Buick Regal,http://www.fueleconomy.gov/feg/photos/2013_Buick_Regal.jpg,22,NA
 2013 Buick Regal,http://www.fueleconomy.gov/feg/photos/2013_Buick_Regal.jpg,22,22.9
 2011 Buick Regal,http://www.fueleconomy.gov/feg/photos/2011_Buick_Regal.jpg,21,21.0
 2014 Buick LaCrosse,http://www.fueleconomy.gov/feg/photos/2014_Buick_LaCrosse.jpg,21,NA
 2014 Buick LaCrosse,http://www.fueleconomy.gov/feg/photos/2014_Buick_LaCrosse.jpg,21,NA
 2015 Buick LaCrosse,http://www.fueleconomy.gov/feg/photos/2015_Buick_LaCrosse.jpg,21,NA
 2015 Buick LaCrosse,http://www.fueleconomy.gov/feg/photos/2015_Buick_LaCrosse.jpg,21,NA
 2016 Buick LaCrosse,http://www.fueleconomy.gov/feg/photos/2016_Buick_LaCrosse.jpg,21,22.3
 2016 Buick LaCrosse,http://www.fueleconomy.gov/feg/photos/2016_Buick_LaCrosse.jpg,21,NA
 2005 Buick Century,http://www.fueleconomy.gov/feg/photos/2005_Buick_Century.jpg,21,23.5
 2005 Buick Lacrosse/Allure,http://www.fueleconomy.gov/feg/photos/2005_Buick_LaCrosse.jpg,21,19.4
 2005 Buick LeSabre,http://www.fueleconomy.gov/feg/photos/2005_Buick_LeSabre.jpg,21,26.2
 2005 Buick Park Avenue,http://www.fueleconomy.gov/feg/photos/2005_Buick_Park_Avenue.jpg,21,29.4
 2006 Buick Lacrosse/Allure,http://www.fueleconomy.gov/feg/photos/2006_Buick_LaCrosse.jpg,21,22.8
 2008 Buick Lacrosse/Allure,http://www.fueleconomy.gov/feg/photos/2008_Buick_LaCrosse.jpg,21,27.7
 2009 Buick Lacrosse/Allure,http://www.fueleconomy.gov/feg/photos/2009_Buick_LaCrosse.jpg,21,19.8
 2007 Buick Lacrosse/Allure,http://www.fueleconomy.gov/feg/photos/2007_Buick_LaCrosse.jpg,21,25.8
 2010 Buick Lacrosse/Allure,http://www.fueleconomy.gov/feg/photos/2010_Buick_LaCrosse.jpg,21,23.5
 2012 Buick LaCrosse,http://www.fueleconomy.gov/feg/photos/2011_Buick_LaCrosse.jpg,21,NA
 2012 Buick LaCrosse,http://www.fueleconomy.gov/feg/photos/2011_Buick_LaCrosse.jpg,21,NA
 2013 Buick LaCrosse,http://www.fueleconomy.gov/feg/photos/2013_Buick_LaCrosse.jpg,21,NA
 2013 Buick LaCrosse,http://www.fueleconomy.gov/feg/photos/2013_Buick_LaCrosse.jpg,21,23.3
 2009 Buick Lucerne,http://www.fueleconomy.gov/feg/photos/2009_Buick_Lucerne.jpg,21,22.9
 2011 Buick Lucerne,http://www.fueleconomy.gov/feg/photos/2011_Buick_Lucerne.jpg,21,NA
 2011 Buick LaCrosse,http://www.fueleconomy.gov/feg/photos/2011_Buick_LaCrosse.jpg,20,19.3
 2005 Buick Park Avenue,http://www.fueleconomy.gov/feg/photos/2005_Buick_Park_Avenue.jpg,20,NA
 2006 Buick Lucerne,http://www.fueleconomy.gov/feg/photos/2006_Buick_Lucerne.jpg,20,20.8
 2007 Buick Lucerne,http://www.fueleconomy.gov/feg/photos/2007_Buick_Lucerne.jpg,20,23.2
 2009 Buick Lucerne,http://www.fueleconomy.gov/feg/photos/2009_Buick_Lucerne.jpg,20,NA
 2010 Buick Lacrosse/Allure,http://www.fueleconomy.gov/feg/photos/2010_Buick_LaCrosse.jpg,20,23.0
 2010 Buick Lucerne,http://www.fueleconomy.gov/feg/photos/2010_Buick_Lucerne.jpg,20,NA
 2010 Buick Lucerne,http://www.fueleconomy.gov/feg/photos/2010_Buick_Lucerne.jpg,20,26.0
 2014 Buick LaCrosse AWD,http://www.fueleconomy.gov/feg/photos/2014_Buick_LaCrosse.jpg,20,NA
 2015 Buick LaCrosse AWD,http://www.fueleconomy.gov/feg/photos/2015_Buick_LaCrosse.jpg,20,NA
 2016 Buick LaCrosse AWD,http://www.fueleconomy.gov/feg/photos/2016_Buick_LaCrosse.jpg,20,NA
 2005 Buick Lacrosse/Allure,http://www.fueleconomy.gov/feg/photos/2005_Buick_LaCrosse.jpg,20,NA
 2006 Buick Lacrosse/Allure,http://www.fueleconomy.gov/feg/photos/2006_Buick_LaCrosse.jpg,20,23.4
 2007 Buick Lacrosse/Allure,http://www.fueleconomy.gov/feg/photos/2007_Buick_LaCrosse.jpg,20,NA
 2008 Buick Lacrosse/Allure,http://www.fueleconomy.gov/feg/photos/2008_Buick_LaCrosse.jpg,20,NA
 2013 Buick LaCrosse AWD,http://www.fueleconomy.gov/feg/photos/2013_Buick_LaCrosse.jpg,20,NA
 2011 Buick LaCrosse AWD,http://www.fueleconomy.gov/feg/photos/2011_Buick_LaCrosse.jpg,20,NA
 2012 Buick LaCrosse AWD,http://www.fueleconomy.gov/feg/photos/2011_Buick_LaCrosse.jpg,20,NA
 2005 Buick Rendezvous FWD,http://www.fueleconomy.gov/feg/photos/2005_Buick_Rendezvous.jpg,19,21.0
 2009 Buick Enclave FWD,http://www.fueleconomy.gov/feg/photos/2009_Buick_Enclave.jpg,19,17.1
 2010 Buick Enclave FWD,http://www.fueleconomy.gov/feg/photos/2010_Buick_Enclave.jpg,19,16.0
